post_id,user_id,category_id,title,content,likes_count,shares_count,views_count,published_at
38,36,10,Dog Training Fundamentals,Positive reinforcement techniques that really work,612,91,9100,2024-02-21 12:40:00
39,37,7,Logo Design Best Practices,Creating memorable brand identities that stand out,723,107,10300,2024-02-22 09:15:00
40,38,7,Watch Collecting Guide,Understanding luxury timepieces and investment value,856,126,12100,2024-02-23 15:50:00
41,39,8,Survival Skills Everyone Should Know,Essential outdoor survival techniques for any situation,967,145,13800,2024-02-24 11:25:00
42,40,7,Makeup Tutorials for Beginners,Step-by-step guides to perfect your makeup routine,1234,187,17500,2024-02-25 08:40:00
43,41,9,Marine Conservation Efforts,Protecting our oceans for future generations,534,78,7900,2024-02-26 14:20:00
44,42,12,Latin Dance History and Styles,Exploring the rich cultural heritage of Latin dance,678,98,9400,2024-02-27 10:35:00
45,43,11,Wine Tasting for Beginners,Developing your palate and understanding wine regions,589,86,8600,2024-02-28 16:00:00
46,44,7,Sustainable Architecture Design,Building eco-friendly structures for the future,712,104,10100,2024-03-01 13:15:00
47,45,11,Coffee Roasting at Home,From green beans to perfect espresso in your kitchen,623,93,9000,2024-03-02 09:45:00
48,46,9,Educational Technology Trends,How tech is transforming modern classrooms,445,64,6800,2024-03-03 15:30:00
49,47,6,Cybersecurity Best Practices,Protecting yourself and your business from threats,891,132,12600,2024-03-04 12:00:00
50,48,7,Vintage Fashion Styling Tips,Creating unique looks with thrifted pieces,567,84,8300,2024-03-05 10:20:00
51,49,9,Real Estate Investment Guide,Building wealth through property investment strategies,734,108,10400,2024-03-06 14:55:00
52,50,9,Amateur Astronomy Handbook,Exploring the night sky with basic equipment,823,121,11700,2024-03-07 11:40:00
53,1,6,Advanced TypeScript Patterns,Deep dive into advanced type system features,456,67,7200,2024-03-08 09:25:00
54,2,7,UX Research Methods,Understanding user needs through effective research,512,76,7800,2024-03-09 15:10:00
55,3,6,Git Workflow Best Practices,Mastering version control for team collaboration,378,54,6100,2024-03-10 12:35:00
